"Player","Season","Position","Min","Off. g+","g+ Boost","Off. Net g+","Def. g+","g-","Def. Net g+","Net g+","League"
"Joao Plata","2016","W","2659","0.05","0.01","0.05","-0.02","0","-0.02","0.04","MLS"
"Tranquillo Barnetta","2016","AM","2483","0.03","0.02","0.05","-0.02","0.01","-0.01","0.04","MLS"
"Julian Büscher","2016","CM","679","-0.02","0.05","0.04","0.03","-0.03","0","0.04","MLS"
"Vanessa DiBernardo","2016","CM","1894","0","0","0","0.01","0.02","0.03","0.04","NWSL"
"Dairon Asprilla","2015","W","1118","0.01","0","0.02","0.03","0","0.03","0.04","MLS"
"Diego Chara","2015","DM","2665","0.03","-0.02","0.01","0.03","0","0.04","0.04","MLS"
"Kemar Lawrence","2015","FB","2142","0.01","0.01","0.02","0.02","0.01","0.02","0.04","MLS"
"Marvell Wynne","2015","FB","2975","0.01","0.01","0.02","0.03","-0.01","0.02","0.04","MLS"
"Liam Ridgewell","2015","CB","3085","0.01","0.02","0.03","-0.03","0.03","0.01","0.04","MLS"
"Mauro Díaz","2015","AM","2091","0.04","-0.03","0.01","0.02","0.01","0.03","0.04","MLS"
"Michael Bradley","2015","AM","2419","0.07","-0.05","0.03","0.01","0","0.01","0.04","MLS"
"Joevin Jones","2015","FB","2429","0.04","0.02","0.06","0","-0.02","-0.02","0.04","MLS"
"Nat Borchers","2015","CB","3001","-0.03","0","-0.03","0.04","0.03","0.07","0.04","MLS"
"Daniel Lovitz","2015","FB","403","0.02","0.02","0.04","-0.02","0.02","0","0.04","MLS"
"Johan Venegas","2015","W","800","0.03","-0.04","-0.01","0.04","0","0.04","0.04","MLS"
"George Fochive","2015","DM","734","-0.06","0.06","0.01","0.03","0","0.03","0.04","MLS"
"Jared Watts","2015","CB","1139","-0.02","0.02","0.01","-0.03","0.06","0.03","0.04","MLS"
"Darlington Nagbe","2015","W","3026","0.03","0.01","0.04","-0.01","0","-0.01","0.04","MLS"
"Matt Besler","2015","CB","3052","0.04","-0.01","0.03","-0.02","0.03","0","0.04","MLS"
"Zach Loyd","2015","CB","2577","-0.03","0.02","0","0.03","0.01","0.04","0.04","MLS"
"Alexander López","2015","W","1011","-0.05","0.05","0","0.01","0.03","0.04","0.04","MLS"
"Agustín Viana","2014","DM","314","0.12","-0.04","0.08","-0.04","0","-0.04","0.04","MLS"
"Patrick Nyarko","2014","W","896","0.03","0.04","0.07","-0.02","-0.01","-0.03","0.04","MLS"
"A.J. DeLaGarza","2014","FB","2678","-0.03","-0.01","-0.04","0.05","0.04","0.09","0.04","MLS"
"Kyle Porter","2014","W","90","0.12","-0.01","0.11","-0.04","-0.03","-0.07","0.04","MLS"
"Chance Myers","2014","FB","617","-0.05","0","-0.04","-0.02","0.1","0.09","0.04","MLS"
"Bobby Burling","2014","CB","1950","-0.03","0","-0.03","0.09","-0.02","0.07","0.04","MLS"
"Leonardo","2014","CB","1975","-0.04","0","-0.04","0.02","0.06","0.08","0.04","MLS"
"Jorge Villafaña","2014","FB","1719","0","0.03","0.03","0.01","0","0.01","0.04","MLS"
"Chris Schuler","2014","CB","2343","0.02","0","0.02","0","0.01","0.02","0.04","MLS"
"Juninho","2014","CM","2944","0.03","-0.03","0.01","0.02","0.02","0.03","0.04","MLS"
"Andrew Jean-Baptiste","2014","CB","787","0.01","0.01","0.02","0.08","-0.07","0.02","0.04","MLS"
"Amobi Okugo","2014","DM","3008","0.01","0.01","0.02","0.01","0.01","0.02","0.04","MLS"
"Luke Mulholland","2014","CM","2133","0","0.01","0.01","0.02","0.01","0.03","0.04","MLS"
"Kellyn Acosta","2014","FB","878","-0.02","-0.02","-0.03","0.06","0.01","0.07","0.04","MLS"
"Darlington Nagbe","2014","W","2883","0.03","0.01","0.05","0","-0.01","-0.01","0.04","MLS"
"Stefan Ishizaki","2014","W","2019","0.01","0.03","0.04","-0.01","0","-0.01","0.04","MLS"
"Aaron Wheeler","2014","CB","848","0.02","0","0.02","0.07","-0.05","0.02","0.04","MLS"
"Brandon Barklage","2013","FB","1872","0.01","0.01","0.02","0.02","0","0.02","0.04","MLS"
"Federico Higuaín","2013","ST","2786","0.05","0","0.04","0.01","-0.01","0","0.04","MLS"
"Mechack Jerome","2013","FB","738","-0.03","0.01","-0.02","0","0.06","0.06","0.04","MLS"
"Kelyn Rowe","2013","CM","2757","0.05","0","0.05","-0.01","0","-0.01","0.04","MLS"
"Sean Franklin","2013","FB","2944","0","0.01","0.01","-0.01","0.04","0.03","0.04","MLS"
"Davy Arnaud","2013","CM","1906","-0.03","0.05","0.02","0.01","0.02","0.02","0.04","MLS"
"Germán Mera","2013","CB","645","0","0.03","0.02","-0.02","0.03","0.02","0.04","MLS"
"Anthony Wallace","2013","FB","136","0.03","0.01","0.03","-0.01","0.01","0.01","0.04","MLS"
"Kei Kamara","2013","W","1140","0.03","-0.01","0.01","0","0.03","0.02","0.04","MLS"
"Zach Loyd","2013","FB","2314","0","0.02","0.02","0.01","0","0.02","0.04","MLS"
"Lee Nguyen","2013","CM","3072","0.09","-0.04","0.05","-0.02","0.01","-0.01","0.04","MLS"
"Karl Ouimette","2013","FB","592","0","0","0","0.01","0.03","0.04","0.04","MLS"
"Chad Barson","2013","FB","1730","-0.02","0.02","0","0.05","-0.02","0.03","0.04","MLS"
"Darren O'Dea","2013","CB","1669","0.02","0.02","0.04","0","0","-0.01","0.04","MLS"
"Paul Marie","2023","FB","2209","0.01","0.01","0.02","0.03","-0.02","0.02","0.03","MLS"
"Pablo Ruiz","2023","CM","1507","0.04","-0.03","0.01","0.04","-0.02","0.02","0.03","MLS"
"Elyse Bennett","2023","ST","819","0.04","-0.02","0.02","0","0.02","0.01","0.03","NWSL"
"Preston Judd","2023","ST","730","0.05","-0.01","0.04","0","-0.01","0","0.03","MLS"
"Keaton Parks","2023","CM","2731","0.04","0","0.04","-0.01","0.01","-0.01","0.03","MLS"
"Marta","2023","W","1497","-0.05","0.02","-0.04","0.05","0.02","0.07","0.03","NWSL"
"Sofiane Djeffal","2023","CM","353","-0.03","-0.01","-0.04","0.08","-0.01","0.07","0.03","MLS"
"Meghan Klingenberg","2023","FB","1746","0.01","0","0.01","0.01","0.01","0.02","0.03","NWSL"
"Ary Borges","2023","CM","1561","0.04","-0.01","0.03","0.01","-0.01","0","0.03","NWSL"
"Zac McGraw","2023","CB","2610","0","-0.01","-0.01","0.04","0","0.04","0.03","MLS"
"Marisa Viggiano","2023","CM","1399","-0.01","0.02","0","0.03","0","0.03","0.03","NWSL"
"Maximiliano Morález","2023","AM","346","0.03","-0.03","0","0.04","0","0.03","0.03","MLS"
"Ashley Sanchez","2023","AM","1673","0.02","-0.02","0","0.02","0.02","0.04","0.03","NWSL"
"Matheus Rossetto","2023","DM","1929","0.01","0","0.01","0.01","0.01","0.02","0.03","MLS"
"Samuel Adekugbe","2023","FB","438","0.01","0.01","0.02","0","0.02","0.01","0.03","MLS"
"Omir Fernandez","2023","W","1868","0","0.01","0.01","0.02","0.01","0.02","0.03","MLS"
"Tristan Muyumba Nkita","2023","DM","780","0.02","0.01","0.03","0.03","-0.03","0","0.03","MLS"
"Albert Rusnák","2023","DM","2800","0","0.04","0.04","-0.02","0.01","-0.01","0.03","MLS"
"Andreu Fontàs","2023","CB","2551","0.06","-0.01","0.04","-0.01","0","-0.01","0.03","MLS"
"Juan Mosquera","2023","FB","2581","0.05","0.01","0.05","0","-0.02","-0.02","0.03","MLS"
"Felipe Gutiérrez","2023","CM","328","0.02","0.01","0.02","-0.01","0.02","0.01","0.03","MLS"
"Nkosi Burgess","2023","CB","2581","0","-0.01","-0.01","0.02","0.02","0.04","0.03","MLS"
"Logan Ndenbe","2023","FB","1601","0.01","0","0.02","-0.01","0.02","0.01","0.03","MLS"
"Robert Castellanos","2023","CB","809","-0.01","0.02","0","-0.01","0.03","0.03","0.03","MLS"
"Maren Haile-Selassie","2023","W","2101","0","0","0.01","0.03","-0.01","0.02","0.03","MLS"
"Kamil Jozwiak","2023","W","1397","0.02","0.04","0.06","-0.02","-0.01","-0.03","0.03","MLS"
"Henry Kessler","2023","CB","686","0.02","-0.02","0","0.12","-0.08","0.03","0.03","MLS"
"Kayla Fischer","2023","CM","533","-0.03","0.02","-0.01","0.03","0.01","0.04","0.03","NWSL"
"Alvas Powell","2023","FB","1041","-0.03","0","-0.03","-0.01","0.06","0.05","0.03","MLS"
"Luquinhas","2023","W","2085","0","0","0","0.02","0.01","0.03","0.03","MLS"
"Denise O'Sullivan","2023","DM","1868","-0.06","0.06","-0.01","0.01","0.02","0.04","0.03","NWSL"
"Timothy Tillman","2023","CM","1729","0","0.02","0.03","-0.01","0.01","0","0.03","MLS"
"Brad Smith","2023","FB","574","0","0.01","0.01","0.01","0.01","0.02","0.03","MLS"
"Naomi Girma","2023","CB","1827","0","0.02","0.02","-0.01","0.02","0.01","0.03","NWSL"
"Kate Del Fava","2023","FB","1965","0","-0.01","-0.01","0.03","0.01","0.04","0.03","NWSL"
"Eduard Löwen","2023","CM","2462","0.03","-0.01","0.02","0.02","-0.02","0","0.03","MLS"
"Stipe Biuk","2023","W","1553","0.03","-0.02","0.02","0","0.01","0.01","0.03","MLS"
"Edwin Mosquera","2023","W","477","0.04","-0.02","0.02","-0.02","0.02","0","0.03","MLS"
"Yerson Mosquera","2023","CB","2423","0.01","-0.02","-0.01","-0.02","0.05","0.04","0.03","MLS"
"Ariel Lassiter","2023","FB","1827","0.01","0.03","0.04","-0.02","0","-0.02","0.03","MLS"
"Casey Krueger","2023","FB","1827","0.01","0.03","0.03","0.03","-0.04","-0.01","0.03","NWSL"
"Mia Gyau","2022","FB","162","-0.05","0.01","-0.04","0.02","0.06","0.07","0.03","NWSL"
"Dairon Asprilla","2022","W","2052","0.04","-0.01","0.03","-0.02","0.03","0","0.03","MLS"
"Miguel Ángel Navarro","2022","FB","2391","0.01","0.01","0.01","-0.01","0.03","0.02","0.03","MLS"
"Jacob Shaffelburg","2022","FB","1251","0.06","0.04","0.09","-0.04","-0.02","-0.06","0.03","MLS"
"Gastón Brugman","2022","CM","1220","0.08","-0.05","0.03","-0.01","0.01","0","0.03","MLS"
"Tesho Akindele","2022","ST","749","0.01","0","0.01","0.01","0.01","0.02","0.03","MLS"
"Cristián Gutiérrez","2022","FB","691","0","0.01","0.01","0.01","0.02","0.03","0.03","MLS"
"Noel Buck","2022","W","326","0.08","-0.01","0.06","-0.03","0.01","-0.03","0.03","MLS"
"Christen Press","2022","W","742","0.05","-0.03","0.02","0.01","0.01","0.02","0.03","NWSL"
"Tyler Lussi","2022","FB","1602","-0.03","0.02","-0.01","0.06","-0.01","0.04","0.03","NWSL"
"Daniel Pereira Gil","2022","DM","2270","0.02","0.02","0.04","-0.01","0.01","-0.01","0.03","MLS"
"Malte Amundsen","2022","FB","2361","-0.01","0.02","0","0.01","0.02","0.03","0.03","MLS"
"Cristian Espinoza","2022","W","3054","-0.04","0.07","0.03","0","0.01","0.01","0.03","MLS"
"Themi Antonoglou","2022","FB","44","0.06","0.01","0.07","0.01","-0.04","-0.03","0.03","MLS"
"Dejan Joveljic","2022","ST","1194","0.03","0.01","0.04","-0.03","0.02","0","0.03","MLS"
"Kelli Hubly","2022","CB","2156","0.03","-0.01","0.02","0","0","0.01","0.03","NWSL"
"Jojea Kwizera","2022","FB","321","-0.08","0.01","-0.07","0","0.1","0.1","0.03","MLS"
"Quinn","2022","DM","1291","0.01","-0.01","0.01","-0.01","0.03","0.03","0.03","NWSL"
"Sergio Ruiz","2022","CM","827","0.01","0","0.01","0.01","0.01","0.02","0.03","MLS"
"Juan Mosquera","2022","FB","218","-0.01","-0.02","-0.03","0.05","0.01","0.06","0.03","MLS"
"Marcus Godinho","2022","FB","1123","0.01","-0.02","-0.01","0.02","0.02","0.04","0.03","MLS"
"Marinos Tzionis","2022","W","912","0.03","0.01","0.04","-0.01","0","-0.01","0.03","MLS"
"Haley McCutcheon","2022","FB","1621","-0.03","0.04","0.01","0.02","0","0.02","0.03","NWSL"
"Maxime Chanot","2022","CB","1616","0","-0.01","-0.02","0.02","0.03","0.04","0.03","MLS"
"Nicolás Acevedo","2022","DM","2525","0","-0.02","-0.03","0.03","0.03","0.06","0.03","MLS"
"Jason Pendant","2022","FB","100","-0.03","0.01","-0.02","0.09","-0.04","0.05","0.03","MLS"
"Tommy Thompson","2022","FB","1457","0.01","0","0","0.05","-0.02","0.02","0.03","MLS"
"Graham Zusi","2022","FB","1815","0.01","-0.04","-0.03","0.04","0.02","0.05","0.03","MLS"
"Gedion Zelalem","2022","DM","230","0.05","-0.02","0.02","-0.01","0.01","0","0.03","MLS"
"Miles Robinson","2022","CB","717","0.02","-0.03","-0.02","0.01","0.03","0.04","0.03","MLS"
"Andre Shinyashiki","2022","W","1226","0.01","0","0.01","0.02","0.01","0.02","0.03","MLS"
"Edwin Munjoma","2022","FB","113","-0.05","0.01","-0.04","0.01","0.05","0.06","0.03","MLS"
"Matt Hedges","2022","CB","2463","0.02","-0.04","-0.02","0.04","0.01","0.05","0.03","MLS"
"Brooks Lennon","2022","FB","2249","0.01","0.02","0.03","-0.03","0.02","0","0.03","MLS"
"Jessica McDonald","2022","W","1892","-0.01","0.02","0.01","0.02","-0.01","0.02","0.03","NWSL"
"Olivia Moultrie","2022","CM","775","0.02","-0.01","0.01","0.01","0.01","0.02","0.03","NWSL"
"Steven Moreira","2022","FB","3087","0","0.02","0.02","-0.01","0.02","0.01","0.03","MLS"
"Julian Araujo","2022","FB","3021","-0.01","0.01","-0.01","0.01","0.02","0.03","0.03","MLS"
"Victor Wanyama","2022","CM","2913","-0.01","0.02","0","-0.01","0.03","0.02","0.03","MLS"
"Brianna Visalli","2022","CM","557","0.03","-0.01","0.02","-0.01","0.02","0.01","0.03","NWSL"
"Maikel Chang","2022","W","1988","-0.04","0.04","0","0.01","0.02","0.03","0.03","MLS"
"Nicolás Mezquida","2022","AM","159","-0.01","0","-0.01","0.01","0.02","0.03","0.03","MLS"
"Vanessa DiBernardo","2022","CM","2077","-0.01","-0.03","-0.04","0.04","0.03","0.07","0.03","NWSL"
"Thomas Edwards","2022","CB","1815","0.01","0","0.01","-0.01","0.03","0.02","0.03","MLS"
"Handwalla Bwana","2022","W","18","0","-0.01","-0.01","0","0.04","0.04","0.03","MLS"
"Emily Sonnett","2022","CB","939","0.02","-0.04","-0.01","0.04","0.01","0.04","0.03","NWSL"
"Carlos Terán","2022","CB","1855","0.01","0","0.01","0.01","0","0.01","0.03","MLS"
"Erika Tymrak","2022","W","959","0","0.02","0.02","0.01","0","0.01","0.03","NWSL"
"Ariel Lassiter","2022","W","1790","0.05","0","0.05","-0.01","-0.01","-0.03","0.03","MLS"
"Jonathan Osorio","2021","CM","1783","0","0.02","0.02","0.02","0","0.02","0.03","MLS"
"Dave Romney","2021","CB","3237","0.01","-0.01","-0.01","-0.02","0.06","0.04","0.03","MLS"
"Wil Trapp","2021","DM","2971","0.02","0","0.02","0.01","0.01","0.02","0.03","MLS"
"Raheem Edwards","2021","FB","1557","0.03","0.04","0.07","-0.03","0","-0.04","0.03","MLS"
"Ranko Veselinovic","2021","CB","2206","-0.02","0","-0.02","0.04","0.01","0.05","0.03","MLS"
"Chris Wondolowski","2021","ST","1427","0.02","0.01","0.02","0.01","0","0.01","0.03","MLS"
"Kyle Smith","2021","FB","1993","-0.01","-0.01","-0.02","0.03","0.02","0.05","0.03","MLS"
"Thiago Andrade","2021","W","1077","0.04","0.01","0.05","-0.02","0","-0.02","0.03","MLS"
"Alex Morgan","2021","ST","1223","0.05","-0.01","0.04","0.01","-0.02","-0.01","0.03","NWSL"
"Joe Corona","2021","CM","1900","-0.01","0.02","0.01","0.01","0.01","0.03","0.03","MLS"
"Ryan Williams","2021","FB","420","0.02","0.01","0.03","0.02","-0.02","0","0.03","NWSL"
"Dzsenifer Marozsán","2021","ST","1484","0","0.02","0.02","0","0","0.01","0.03","NWSL"
"Nicolas Benezet","2021","AM","1061","0.03","-0.02","0.01","0.01","0.01","0.02","0.03","MLS"
"Andy Rose","2021","CB","1809","-0.01","0","0","0.02","0.01","0.04","0.03","MLS"
"Elizabeth Ball","2021","CB","1501","0","0.02","0.03","0.03","-0.03","0","0.03","NWSL"
"Cecilio Domínguez","2021","W","2560","0.02","0","0.02","0.01","0.01","0.01","0.03","MLS"
"Vito Wormgoor","2021","CB","1398","0","-0.01","-0.01","0.01","0.03","0.04","0.03","MLS"
"Kemar Lawrence","2021","FB","2084","-0.01","-0.03","-0.03","0.03","0.03","0.06","0.03","MLS"
"Matt Hedges","2021","CB","1601","0.04","-0.02","0.02","0.01","0","0.01","0.03","MLS"
"Chloe Logarzo","2021","ST","204","-0.06","0.02","-0.04","0.05","0.01","0.07","0.03","NWSL"
"Brian Rodríguez","2021","ST","1123","0.03","0","0.03","-0.01","0.01","0","0.03","MLS"
"Mathieu Choinière","2021","FB","2123","-0.03","0.02","-0.01","-0.01","0.06","0.04","0.03","MLS"
"Robin Lod","2021","W","1950","0","0.01","0.01","0.02","0","0.02","0.03","MLS"
"Bill Tuiloma","2021","CB","2022","0.05","0.01","0.05","-0.01","-0.02","-0.02","0.03","MLS"
"Alana Cook","2021","CB","1877","0","0.01","0.01","-0.01","0.03","0.02","0.03","NWSL"
"Justen Glad","2021","CB","3041","0.01","0","0.01","0.02","-0.01","0.02","0.03","MLS"
"Alex Roldan","2021","FB","2484","0","-0.01","0","0.02","0.02","0.03","0.03","MLS"
"Diego Rossi","2021","ST","1823","0","0.02","0.02","-0.02","0.02","0.01","0.03","MLS"
"Marissa Everett","2021","AM","580","0.04","-0.03","0.01","-0.02","0.03","0.01","0.03","NWSL"
"Yimmi Chará","2021","W","2491","0.02","0","0.02","0.02","-0.01","0.01","0.03","MLS"
"Cole Bassett","2021","AM","2412","0.01","-0.04","-0.03","0.02","0.04","0.06","0.03","MLS"
"Anton Tinnerholm","2021","FB","2209","0.03","-0.02","0.01","-0.03","0.05","0.02","0.03","MLS"
"Paul Marie","2021","FB","1120","0.01","0.02","0.03","0","-0.01","0","0.03","MLS"
"Miguel Ángel Navarro","2021","FB","2414","-0.03","0.04","0","0.02","0","0.02","0.03","MLS"
"Jared Stroud","2021","W","1278","0.03","0","0.03","0","0","0","0.03","MLS"
"Maynor Figueroa","2021","CB","918","0.06","0.01","0.07","-0.03","-0.02","-0.05","0.03","MLS"
"Gastón Giménez","2021","DM","2136","-0.02","0","-0.01","0.03","0.01","0.04","0.03","MLS"
"Zoe Morse","2021","FB","12","-0.04","0.01","-0.03","0","0.06","0.06","0.03","NWSL"
"Cory Burke","2021","ST","1059","-0.03","0","-0.03","0.03","0.02","0.06","0.03","MLS"
"Rubio Rubín","2021","ST","2410","0.02","0.02","0.04","-0.01","0","-0.01","0.03","MLS"
"Kim Moon-Hwan","2021","FB","1992","-0.02","0","-0.02","0.03","0.02","0.05","0.03","MLS"
"Stuart Findlay","2021","CB","419","-0.05","0.03","-0.03","0.05","0.01","0.05","0.03","MLS"
"Saad Abdul-Salaam","2020","FB","362","-0.05","0.01","-0.05","0.02","0.06","0.08","0.03","MLS"
"Mohammed Abu","2020","CM","360","-0.05","0.01","-0.03","0.07","0","0.07","0.03","MLS"
"Romain Métanire","2020","FB","1641","0.01","0.03","0.03","0","0","0","0.03","MLS"
"Adam Buksa","2020","ST","1373","0.05","-0.01","0.04","-0.01","0","-0.01","0.03","MLS"
"Omir Fernandez","2020","W","485","-0.03","0.03","0","0.02","0.02","0.04","0.03","MLS"
"Chris Odoi-Atsem","2020","FB","735","-0.01","-0.01","-0.03","0.05","0.01","0.06","0.03","MLS"
"Bayley Feist","2020","CM","401","-0.06","0.03","-0.03","0.05","0.01","0.06","0.03","NWSL"
"Juan Pablo Torres","2020","W","6","-0.11","-0.01","-0.13","0.07","0.09","0.16","0.03","MLS"
"Felipe","2020","CM","407","-0.01","0.01","0","0.04","-0.01","0.03","0.03","MLS"
"Megan Oyster","2020","CB","96","0.04","0","0.04","-0.03","0.03","0","0.03","NWSL"
"Maximiliano Urruti","2020","ST","733","0.02","0.01","0.03","0.01","-0.01","0","0.03","MLS"
"Wil Trapp","2020","DM","1253","-0.03","-0.01","-0.04","0.06","0.01","0.07","0.03","MLS"
"Bryan Acosta","2020","CM","800","0.02","0.02","0.04","-0.03","0.02","-0.01","0.03","MLS"
"Kelli Hubly","2020","CB","149","0.05","-0.02","0.04","-0.03","0.02","0","0.03","NWSL"
"Brooks Lennon","2020","FB","1620","-0.06","0.01","-0.05","0.04","0.04","0.08","0.03","MLS"
"Andre Shinyashiki","2020","W","1015","-0.01","0.01","0","0.02","0.01","0.03","0.03","MLS"
"Pablo Piatti","2020","W","1189","0.02","-0.02","0","-0.02","0.05","0.03","0.03","MLS"
"Jeizon Ramírez","2020","W","113","0.07","-0.01","0.06","-0.03","0","-0.03","0.03","MLS"
"Kealia Watt","2020","ST","398","0.06","0","0.06","0","-0.03","-0.03","0.03","NWSL"
"Michelle Maemone","2020","FB","48","0.06","0.01","0.07","0.01","-0.05","-0.04","0.03","NWSL"
"Olivier Mbaizo","2020","FB","1154","-0.02","0","-0.01","0.01","0.03","0.04","0.03","MLS"
"DeJuan Jones","2020","FB","1119","0.04","0","0.03","-0.01","0","-0.01","0.03","MLS"
"Artur","2020","DM","1780","-0.02","-0.02","-0.04","0.06","0.01","0.07","0.03","MLS"
"Eddie Segura","2020","CB","1769","0.07","-0.03","0.04","-0.03","0.01","-0.02","0.03","MLS"
"Rod Fanni","2020","CB","801","-0.01","0","-0.01","0.11","-0.08","0.04","0.03","MLS"
"Robin Jansson","2020","CB","1890","-0.01","-0.02","-0.03","0.01","0.05","0.06","0.03","MLS"
"Luis Martins","2020","FB","578","0.01","0.03","0.04","-0.03","0.02","-0.02","0.03","MLS"
"Jefferson Savarino","2019","W","2502","0.04","-0.01","0.03","-0.01","0.01","0.01","0.03","MLS"
"Yuki Nagasato","2019","W","2271","-0.02","0.03","0.01","0.01","0","0.02","0.03","NWSL"
"Alexander Ring","2019","DM","3103","0.04","-0.03","0.01","0","0.02","0.02","0.03","MLS"
"Erik Godoy","2019","CB","2850","-0.01","-0.01","-0.03","0.09","-0.03","0.06","0.03","MLS"
"Alejandro Bedoya","2019","CM","3113","0.04","-0.01","0.03","-0.01","0.01","0","0.03","MLS"
"Jonathan Osorio","2019","DM","1916","0.01","0.04","0.06","-0.03","0.01","-0.03","0.03","MLS"
"Kiersten Dallstream","2019","W","41","-0.08","0.06","-0.02","-0.03","0.08","0.05","0.03","NWSL"
"Nicolas Benezet","2019","W","471","0.05","-0.04","0","0.02","0.01","0.03","0.03","MLS"
"Elizabeth Ball","2019","FB","1163","0","0.02","0.03","-0.02","0.02","0","0.03","NWSL"
"Danica Evans","2019","ST","372","0.09","-0.04","0.06","0","-0.03","-0.03","0.03","NWSL"
"Aurélien Collin","2019","CB","590","0.05","0","0.04","-0.04","0.03","-0.01","0.03","MLS"
"Perry Kitchen","2019","DM","624","-0.02","0","-0.02","0.08","-0.04","0.05","0.03","MLS"
"Sydney Miramontez","2019","FB","236","0.05","-0.01","0.04","-0.02","0.01","-0.01","0.03","NWSL"
"Jorge Moreira","2019","FB","2482","0.09","-0.02","0.07","-0.03","-0.01","-0.04","0.03","MLS"
"Daniel Steres","2019","CB","2861","0.05","-0.02","0.03","0","0","0","0.03","MLS"
"Julian Araujo","2019","FB","995","-0.01","0.01","0","0.02","0.01","0.03","0.03","MLS"
"Becca Moros","2019","FB","662","-0.03","0.04","0.01","0.01","0","0.02","0.03","NWSL"
"Auro","2019","FB","2038","0.03","-0.02","0.01","-0.01","0.03","0.01","0.03","MLS"
"Liam Fraser","2019","DM","887","0.07","-0.11","-0.04","0.02","0.05","0.07","0.03","MLS"
"Sarah Gorden","2019","CB","2233","-0.02","0.02","-0.01","0","0.04","0.03","0.03","NWSL"
"Kacper Przybylko","2019","ST","2460","0","0.01","0.01","0.01","0.01","0.02","0.03","MLS"
"Verónica Boquete","2019","CM","1754","-0.02","0.05","0.03","0","-0.01","-0.01","0.03","NWSL"
"Frédéric Brillant","2019","CB","3263","0.03","0","0.03","0.02","-0.02","0","0.03","MLS"
"Josh Pérez","2019","W","525","-0.02","0","-0.02","0.01","0.04","0.05","0.03","MLS"
"Andressinha","2019","AM","407","0.06","-0.06","0","0.01","0.02","0.03","0.03","NWSL"
"Benny Feilhaber","2019","CM","1873","-0.01","0.01","-0.01","0.02","0.01","0.03","0.03","MLS"
"Gyasi Zardes","2019","ST","2707","-0.01","0.01","0.01","0.02","0","0.02","0.03","MLS"
"Justen Glad","2019","CB","2251","0","-0.01","-0.01","-0.03","0.06","0.03","0.03","MLS"
"Rumi Utsugi","2019","DM","327","0.05","0","0.05","-0.02","0","-0.02","0.03","NWSL"
"Arin Wright","2018","FB","2193","0.05","0","0.05","-0.01","-0.01","-0.01","0.03","NWSL"
"Mike Grella","2018","W","528","0.01","-0.04","-0.03","0.01","0.06","0.06","0.03","MLS"
"Jodie Taylor","2018","ST","2246","0.03","0.01","0.03","-0.01","0.01","0","0.03","NWSL"
"Benny Feilhaber","2018","CM","3046","0.02","0.03","0.04","-0.03","0.01","-0.01","0.03","MLS"
"Adam Jahn","2018","ST","101","0.02","-0.01","0.01","-0.05","0.08","0.02","0.03","MLS"
"Diego Fagundez","2018","AM","2866","0.05","-0.01","0.05","-0.01","0","-0.02","0.03","MLS"
"João Pedro","2018","DM","92","-0.06","0.02","-0.05","0.08","0","0.08","0.03","MLS"
"Cristian Colmán","2018","ST","678","0.07","-0.01","0.07","-0.03","-0.01","-0.04","0.03","MLS"
"Sydney Miramontez","2018","FB","704","-0.01","0","-0.01","-0.02","0.07","0.04","0.03","NWSL"
"Andreas Ivan","2018","W","241","0.04","0","0.04","0","-0.01","-0.01","0.03","MLS"
"Jonathan Spector","2018","CB","1153","-0.01","0.03","0.02","0.03","-0.02","0.01","0.03","MLS"
"Shaft Brewer","2018","ST","49","0.18","-0.01","0.17","-0.1","-0.04","-0.14","0.03","MLS"
"Ronald Matarrita","2018","FB","1496","-0.01","0.02","0.01","0","0.02","0.02","0.03","MLS"
"Amber Brooks","2018","CB","2346","-0.02","0.01","-0.01","0.08","-0.04","0.03","0.03","NWSL"
"Ethan Finlay","2018","W","620","0.08","0.02","0.1","-0.06","-0.01","-0.07","0.03","MLS"
"Yangel Herrera","2018","CM","1208","-0.01","-0.03","-0.03","0.04","0.02","0.06","0.03","MLS"
"Cristian Penilla","2018","W","3050","0.07","-0.03","0.04","-0.01","0","-0.01","0.03","MLS"
"Nicolás Lodeiro","2018","AM","2644","0.03","-0.01","0.02","0","0","0","0.03","MLS"
"Taylor Comeau","2018","FB","2156","0","0","0.01","0.03","-0.02","0.02","0.03","NWSL"
"Meredith Speck","2018","W","304","-0.09","-0.01","-0.09","0.08","0.04","0.12","0.03","NWSL"
"Carli Lloyd","2017","ST","699","0.06","-0.02","0.04","0.01","-0.01","0","0.03","NWSL"
"Jonathan Osorio","2017","CM","1174","-0.01","0.02","0.01","0","0.02","0.02","0.03","MLS"
"Nicolas Hasler","2017","FB","788","0.05","-0.02","0.03","-0.03","0.04","0.01","0.03","MLS"
"Daniel Royer","2017","W","1997","0.03","0","0.02","-0.01","0.02","0.01","0.03","MLS"
"Shea Salinas","2017","FB","1565","0.05","0.01","0.07","-0.01","-0.03","-0.04","0.03","MLS"
"Maynor Figueroa","2017","FB","2520","0.03","-0.02","0.01","0.02","0.01","0.02","0.03","MLS"
"Daniel Steres","2017","CB","2000","0.07","0.01","0.08","0.01","-0.05","-0.04","0.03","MLS"
"Maxime Chanot","2017","CB","1843","0.05","-0.04","0","-0.04","0.06","0.03","0.03","MLS"
"Ambroise Oyongo","2017","FB","1072","-0.01","0.01","0","0.01","0.02","0.03","0.03","MLS"
